id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1319931214644408325,1319931214644408325,2020-10-24 14:48:19 India Standard Time,2020-10-24,14:48:19,+0530,1319648562490175488,guddu69452543,guddu,,"@dilipbuildcon  I told you yesterday, I am still informing today. Your Bolero driver (of Jharkhand registered vehicles) is not only a bad driver, but is also a bad person. Please improve this attitude of your employees.#NH133B #ganga_pul @NHAI_Official",en,"['dilipbuildcon', 'nhai_official']",[],[],0,0,0,"['nh133b', 'ganga_pul']",[],https://twitter.com/guddu69452543/status/1319931214644408325,,https://twitter.com/guddu69452543/status/1319662124390477824,0,,,,,,,,"{'user_id': '3250060767', 'username': 'dilipbuildcon'}",,,,
1319662124390477824,1319662124390477824,2020-10-23 20:59:03 India Standard Time,2020-10-23,20:59:03,+0530,1319648562490175488,guddu69452543,guddu,,@dilipbuildcon You have a store cum Employee Residence at Sagar Mal Path Sahibganj (NH 133 B).  Your drivers are completely careless. Breaking the ladder is a daily matter. This cannot be said right. The worst thing is that no one is ready to listen.,en,['dilipbuildcon'],[],[],1,0,0,[],[],https://twitter.com/guddu69452543/status/1319662124390477824,,,0,,,,,,,,"{'user_id': '3250060767', 'username': 'dilipbuildcon'}",,,,
1319488912251785216,1319488912251785216,2020-10-23 09:30:46 India Standard Time,2020-10-23,09:30:46,+0530,735053589865844737,constweekindia,Construction Week India,,Dilip Buildcon emerges L1 bidder for EPC project in Rajasthan    https://t.co/W8G1ybVsFH   @Dilip Buildcon Ltd.  @dilipbuildcon  #rohansuryavanshi,en,"['dilip', 'dilipbuildcon']",['https://zcu.io/N19V'],[],0,0,0,['rohansuryavanshi'],[],https://twitter.com/ConstWeekIndia/status/1319488912251785216,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1319308761496911873,1319308761496911873,2020-10-22 21:34:54 India Standard Time,2020-10-22,21:34:54,+0530,226065728,kalakota_reddy,Pradeep Reddy,,"All works seems to come to end From Vijayawada to Machilipatnam Highway Great to see,But In this Project only incomplete is ""Kankipadu Service Road_Left side From Vijayawada"" Here many people facing troubles to enter and many vehicles are damaging  @dilipbuildcon @NHAI_Official",en,"['dilipbuildcon', 'nhai_official']",[],[],0,0,0,[],[],https://twitter.com/kalakota_reddy/status/1319308761496911873,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1319233634579013632,1319233634579013632,2020-10-22 16:36:23 India Standard Time,2020-10-22,16:36:23,+0530,734896146,projects_today,Projects Today,,Dilip Buildcon through its joint #venture has emerged L1 bidder for #construction of eight-lane access-controlled expressway in #Rajasthan  Read More:  https://t.co/L0bs0A7LRE  @dilipbuildcon @NHAI_Official @nitin_gadkari #BharatmalaPariyojana #DelhiVadodaraExpressway #Roadways  https://t.co/zF3GdLWsDB,en,"['dilipbuildcon', 'nhai_official', 'nitin_gadkari']",['https://bit.ly/37uxwc4'],['https://pbs.twimg.com/media/Ek7bjzgUYAENW5N.jpg'],0,1,8,"['venture', 'construction', 'rajasthan', 'bharatmalapariyojana', 'delhivadodaraexpressway', 'roadways']",[],https://twitter.com/projects_today/status/1319233634579013632,,,1,https://pbs.twimg.com/media/Ek7bjzgUYAENW5N.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1317482818566459392,1317482818566459392,2020-10-17 20:39:16 India Standard Time,2020-10-17,20:39:16,+0530,1015120812309991424,sarveshrao98,Sarvesh rao,, https://t.co/Po0YNJc7GW  New Zuari Bridge Goa Latest updates 8 lane cable stayed bridge #Goa #infrastructureforall #zuaribridge #latestnews  @sahil11p @dilipbuildcon  https://t.co/KiY5XMz2QC,en,"['sahil11p', 'dilipbuildcon']",['https://youtu.be/Qm8zsUy_lbw'],['https://pbs.twimg.com/media/Ekijo6bVgAI0LmH.jpg'],0,1,14,"['goa', 'infrastructureforall', 'zuaribridge', 'latestnews']",[],https://twitter.com/SarveshRao98/status/1317482818566459392,,,1,https://pbs.twimg.com/media/Ekijo6bVgAI0LmH.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1317116293179338753,1317116286506168322,2020-10-16 20:22:49 India Standard Time,2020-10-16,20:22:49,+0530,73322634,cwmagazine,Construction World,,Winners: #AFCONSInfrastructureLimited - A Shapoorji Pallonji Group Company #GRInfraProjectLimited @dilipbuildcon   #CWAA #ICF #CW #ICF2020 #Construction #ConstructionWorld #Infra #Infrastructure #InfraCompanies #fastestgrowingcompanies #fastestgrowingcompany #PSPProjects  https://t.co/3uZMXAGeVJ,ca,['dilipbuildcon'],[],"['https://pbs.twimg.com/media/EkdWP9fUUAAuRku.jpg', 'https://pbs.twimg.com/media/EkdWP9gUcAEZja2.jpg', 'https://pbs.twimg.com/media/EkdWP9-U0AAn24S.jpg']",0,0,1,"['afconsinfrastructurelimited', 'grinfraprojectlimited', 'cwaa', 'icf', 'cw', 'icf2020', 'construction', 'constructionworld', 'infra', 'infrastructure', 'infracompanies', 'fastestgrowingcompanies', 'fastestgrowingcompany', 'pspprojects']",[],https://twitter.com/CWmagazine/status/1317116293179338753,,,1,https://pbs.twimg.com/media/EkdWP9fUUAAuRku.jpg,,,,,,,"{'user_id': '73322634', 'username': 'CWmagazine'}",,,,
1316645081374363648,1316627079576850433,2020-10-15 13:10:24 India Standard Time,2020-10-15,13:10:24,+0530,816545529857355776,vijay_jila_,Vijay Kumar Yadav,,@VikramJournlist @DmAmethi @smritiirani @dilipbuildcon @myogioffice @dilipbuildcon1 @CMOfficeUP @AHindinews @aajtak @BharatSri1310 @Republic_Bharat @brajeshlive @myogiadityanath @s_newsbharat जांच का उद्देश्य ही न्याय को रास्ते से बेदखल करना होता है,hi,"['vikramjournlist', 'dmamethi', 'smritiirani', 'dilipbuildcon', 'myogioffice', 'dilipbuildcon1', 'cmofficeup', 'ahindinews', 'aajtak', 'bharatsri1310', 'republic_bharat', 'brajeshlive', 'myogiadityanath', 's_newsbharat']",[],[],0,0,3,[],[],https://twitter.com/vijay_jila_/status/1316645081374363648,,,0,,,,,,,,"{'user_id': '1215510225479847936', 'username': 'VikramJournlist'}",,,,
1316631618920935424,1316627079576850433,2020-10-15 12:16:54 India Standard Time,2020-10-15,12:16:54,+0530,1234097585897562114,pradeepsinghmfk,प्रदीप सिंह पत्रकार अमेठी,,@VikramJournlist @DmAmethi @smritiirani @dilipbuildcon @myogioffice @dilipbuildcon1 @CMOfficeUP @AHindinews @aajtak @BharatSri1310 @Republic_Bharat @brajeshlive @myogiadityanath @s_newsbharat योगीराज में भ्रष्टाचार का बोलबाला कहां मिलेगा किसान को न्याय।किसान द्वारा दिये गए शपथ पत्र की जाँच होती तो तत्कालीन अपर जिलाधिकारी उप जिलाधिकारी सहित खनन निरीक्षक सहित राजस्व कर्मियों पर भी लटकती कार्यवाही की तलवार।,hi,"['vikramjournlist', 'dmamethi', 'smritiirani', 'dilipbuildcon', 'myogioffice', 'dilipbuildcon1', 'cmofficeup', 'ahindinews', 'aajtak', 'bharatsri1310', 'republic_bharat', 'brajeshlive', 'myogiadityanath', 's_newsbharat']",[],[],0,1,6,[],[],https://twitter.com/Pradeepsinghmfk/status/1316631618920935424,,,0,,,,,,,,"{'user_id': '1215510225479847936', 'username': 'VikramJournlist'}",,,,
1316627079576850433,1316627079576850433,2020-10-15 11:58:52 India Standard Time,2020-10-15,11:58:52,+0530,1215510225479847936,vikramjournlist,विक्रम भदौरिया( विश्वनाथ ) पत्रकार,,"#Amethi किसान के सपथपत्र  की हुई होती जाँच तो #दीलीपविल्डकॉन के अबैध खनन का खुलता बड़ा मामला ,विशेष सचिव उत्तर प्रदेश शासन के पत्र का अमेठी जिलाप्रसासन ने नही लिया संज्ञान,अभी भी नहीं मिल सका किसान को न्याय । @DmAmethi  @smritiirani  @dilipbuildcon @myogioffice  @dilipbuildcon1  https://t.co/CbWulJUxG6",hi,"['dmamethi', 'smritiirani', 'dilipbuildcon', 'myogioffice', 'dilipbuildcon1']",[],"['https://pbs.twimg.com/media/EkWZSyZVkAAytb5.jpg', 'https://pbs.twimg.com/media/EkWZULfUwAA2APn.jpg', 'https://pbs.twimg.com/media/EkWZVMtU0AEEpH3.jpg']",2,2,12,"['amethi', 'दीलीपविल्डकॉन']",[],https://twitter.com/VikramJournlist/status/1316627079576850433,,,1,https://pbs.twimg.com/media/EkWZSyZVkAAytb5.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
