id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1319511369264156673,1319511369264156673,2020-10-23 11:00:00 India Standard Time,2020-10-23,11:00:00,+0530,1286167581276041216,corpraheja,K Raheja Corp Homes,,"Discover a new way of life that is soaked in luxury with every amenity one can desire at Nachram's most sought after gated community, Raheja Vistas.  Visit  https://t.co/F16kl1tU2w or call us on 8080445445 to know more!  #KRahejaCorp #KRaheja #Property #Home #RealEstate  https://t.co/j1IwXOHB65",en,[],['https://www.krahejacorphomes.com/project/raheja-vistas/'],[],0,0,0,"['krahejacorp', 'kraheja', 'property', 'home', 'realestate']",[],https://twitter.com/CorpRaheja/status/1319511369264156673,,,1,https://pbs.twimg.com/ext_tw_video_thumb/1318583776805408768/pu/img/mV9Jh8vZylkkFg7n.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1318893204591177729,1318893204591177729,2020-10-21 18:03:38 India Standard Time,2020-10-21,18:03:38,+0530,750301068043575296,rprealtyplus,Realty+,,"The Most #Environment Friendly #Commercial / #Office Space #Award at the 12th Realty+ #Conclave &amp; Excellence Awards, WEST - 2020 #Virtual Edition went to @K_Raheja_Corp for #Mindspace West, #Congratulations!  #RealtyPlus #RealtyPlusWest @mindspace_parks @CorpRaheja @krahejacorp2",en,"['mindspace_parks', 'corpraheja', 'krahejacorp2']",[],[],0,0,0,"['environment', 'commercial', 'office', 'award', 'conclave', 'virtual', 'mindspace', 'congratulations', 'realtyplus', 'realtypluswest']",[],https://twitter.com/RPRealtyPlus/status/1318893204591177729,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1318786593142894592,1318786593142894592,2020-10-21 11:00:00 India Standard Time,2020-10-21,11:00:00,+0530,1286167581276041216,corpraheja,K Raheja Corp Homes,,"The certified IGBC homes at Raheja Vistas Nacharam maintain the perfect balance between convenience for its residents and ensuring a sustainable future for Mother Earth!  To know more, visit -  https://t.co/GE0C4heNKE or call us on 8080445445  #KRahejaCorp #KRaheja #RealEstate  https://t.co/EpYZR5fnHR",en,[],['http://www.krahejacorphomes.com/project/raheja-vistas'],['https://pbs.twimg.com/media/EkyGdv9UcAI-8VU.jpg'],0,0,0,"['krahejacorp', 'kraheja', 'realestate']",[],https://twitter.com/CorpRaheja/status/1318786593142894592,,,1,https://pbs.twimg.com/media/EkyGdv9UcAI-8VU.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1318468350284984325,1318468350284984325,2020-10-20 13:55:25 India Standard Time,2020-10-20,13:55:25,+0530,1286167581276041216,corpraheja,K Raheja Corp Homes,,"Raheja Reserve, Off NIBM Pune, does not only provide premium amenities and unparalleled luxury but also keeps you connected to the city's social infrastructure and everyday avenues!  To know more, visit -  https://t.co/P7IDErxudg call us on 8080445445  #KRahejaCorp #KRaheja  https://t.co/UgKDMgVFFC",en,[],['https://www.krahejacorphomes.com/project/raheja-reserve/or'],[],0,0,0,"['krahejacorp', 'kraheja']",[],https://twitter.com/CorpRaheja/status/1318468350284984325,,,1,https://pbs.twimg.com/ext_tw_video_thumb/1318467871593299968/pu/img/uniTKbFWrMRjKYLE.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1318467765171232769,1318467765171232769,2020-10-20 13:53:05 India Standard Time,2020-10-20,13:53:05,+0530,154483343,indiacsr,India CSR Network,,@CorpRaheja Nominations invited for prestigious 9th India CSR Awards 2021  https://t.co/At6QTafoFQ,en,['corpraheja'],['https://indiacsr.in/awards2021/'],[],0,0,0,[],[],https://twitter.com/INDIACSR/status/1318467765171232769,,,0,,,,,,,,"{'user_id': '1286167581276041216', 'username': 'CorpRaheja'}",,,,
1317337182030364672,1317337182030364672,2020-10-17 11:00:33 India Standard Time,2020-10-17,11:00:33,+0530,1286167581276041216,corpraheja,K Raheja Corp Homes,,Commence the festive season by inviting Goddess Durga into your homes to shower her choicest blessings on you and your loved ones!  Happy Navratri!  #KRahejaCorpHomes #KRahejaCorp #Navratri #NavratriFever #NavratriSpecial #India #Festival #NavratriVibes #NavratriFestival  https://t.co/xAAByoSJWI,en,[],[],[],0,0,0,"['krahejacorphomes', 'krahejacorp', 'navratri', 'navratrifever', 'navratrispecial', 'india', 'festival', 'navratrivibes', 'navratrifestival']",[],https://twitter.com/CorpRaheja/status/1317337182030364672,,,1,https://pbs.twimg.com/ext_tw_video_thumb/1317336596597796865/pu/img/q_LWh5LC-5QXvu0h.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1317114388445212673,1317114388445212673,2020-10-16 20:15:15 India Standard Time,2020-10-16,20:15:15,+0530,1104997097290399745,theprintotc,Off The Cuff,,"This brings us to the end of #ThePrintOTC with Raghuram Rajan, former RBI Governor &amp; Professor at Chicago Booth. Thanks to our partners: @IIFLWEALTH,@CorpRaheja,@aubankindia, @globinsure, @flyspicejet, @JSPLCorporate",en,"['iiflwealth', 'corpraheja', 'aubankindia', 'globinsure', 'flyspicejet', 'jsplcorporate']",[],[],0,1,2,['theprintotc'],[],https://twitter.com/ThePrintOTC/status/1317114388445212673,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1317098495329865729,1317098228177805312,2020-10-16 19:12:06 India Standard Time,2020-10-16,19:12:06,+0530,1210171778804248576,balaji971,Balaji,,@ThePrintOTC @ShekharGupta @IIFLWEALTH @CorpRaheja @aubankindia @Globinsure @flyspicejet @JSPLCorporate Low audio,en,"['theprintotc', 'shekhargupta', 'iiflwealth', 'corpraheja', 'aubankindia', 'globinsure', 'flyspicejet', 'jsplcorporate']",[],[],0,0,0,[],[],https://twitter.com/balaji971/status/1317098495329865729,,,0,,,,,,,,"{'user_id': '1104997097290399745', 'username': 'ThePrintOTC'}",,,,
1317098228177805312,1317098228177805312,2020-10-16 19:11:02 India Standard Time,2020-10-16,19:11:02,+0530,1104997097290399745,theprintotc,Off The Cuff,,"Live now : Raghuram Rajan, former RBI Governor and Professor at Chicago Booth, in conversation with @ShekharGupta at #ThePrintOTC.   Our Partners: @IIFLWEALTH,@CorpRaheja,@aubankindia, @globinsure, @flyspicejet, @JSPLCorporate",en,"['shekhargupta', 'iiflwealth', 'corpraheja', 'aubankindia', 'globinsure', 'flyspicejet', 'jsplcorporate']",[],[],1,1,4,['theprintotc'],[],https://twitter.com/ThePrintOTC/status/1317098228177805312,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1316952004800008193,1316952004800008193,2020-10-16 09:30:00 India Standard Time,2020-10-16,09:30:00,+0530,1104997097290399745,theprintotc,Off The Cuff,,"We will have Raghuram Rajan, former RBI Governor and Professor, Chicago Booth, in conversation with @ShekharGupta this evening.   Stay tuned!  Our Partners: @IIFLWEALTH,@CorpRaheja,@aubankindia,@globinsure, @flyspicejet, @JSPLCorporate  https://t.co/WVG43jNA6V",en,"['shekhargupta', 'iiflwealth', 'corpraheja', 'aubankindia', 'globinsure', 'flyspicejet', 'jsplcorporate']",[],['https://pbs.twimg.com/media/EkYtLCAU0AE4tKm.jpg'],0,5,14,[],[],https://twitter.com/ThePrintOTC/status/1316952004800008193,,,1,https://pbs.twimg.com/media/EkYtLCAU0AE4tKm.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1316918951931150338,1316599267214016515,2020-10-16 07:18:39 India Standard Time,2020-10-16,07:18:39,+0530,1259107750090428421,thirumal_rajan,Thirumal Rajan I,,@ThePrintOTC @ShekharGupta @IIFLWEALTH @CorpRaheja @aubankindia @Globinsure @flyspicejet @JSPLCorporate Waiting for our REAL  thala view on India,en,"['theprintotc', 'shekhargupta', 'iiflwealth', 'corpraheja', 'aubankindia', 'globinsure', 'flyspicejet', 'jsplcorporate']",[],[],0,0,0,[],[],https://twitter.com/thirumal_rajan/status/1316918951931150338,,,0,,,,,,,,"{'user_id': '1104997097290399745', 'username': 'ThePrintOTC'}",,,,
