id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1301371944856555521,1301371944856555521,2020-09-03 09:40:24 India Standard Time,2020-09-03,09:40:24,+0530,2993234070,bwhotelier,BW HOTELIER,,Procurement Managers: Not Just About Price And Availability.   @NitinSNagrale @HPMFINFO @quality_nz @TajHotels @ITCHotels @BiteFoods @TheLeelaHotels @Marriott @RadissonHotels @Radisson @RadissonBlu @senthilthangam @BlueStarLtd   #IHA2020   https://t.co/8jjZB0rQqW,en,"['nitinsnagrale', 'hpmfinfo', 'quality_nz', 'tajhotels', 'itchotels', 'bitefoods', 'theleelahotels', 'marriott', 'radissonhotels', 'radisson', 'radissonblu', 'senthilthangam', 'bluestarltd']",['http://bwhotelier.businessworld.in/article/Procurement-Managers-Not-Just-About-Price-And-Availability-/02-09-2020-315995/'],[],0,0,0,['iha2020'],[],https://twitter.com/BWHotelier/status/1301371944856555521,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1301106403226955778,1301106403226955778,2020-09-02 16:05:14 India Standard Time,2020-09-02,16:05:14,+0530,2993234070,bwhotelier,BW HOTELIER,,"""Covid has provided us the opportunity to believe in ourselves and our partners,"" says Dr Sanjay Goyal, Vice President Supply Chain Management, Lite Bite Foods Pvt Ltd  at #IHA2020.  @BiteFoods   @KhannaBhuvanesh @BWBusinessworld @anuragbatrayo  https://t.co/9arAnAiA61",en,"['bitefoods', 'khannabhuvanesh', 'bwbusinessworld', 'anuragbatrayo']",[],['https://pbs.twimg.com/media/Eg51XsnU4AACSWC.jpg'],0,0,0,['iha2020'],[],https://twitter.com/BWHotelier/status/1301106403226955778,,,1,https://pbs.twimg.com/media/Eg51XsnU4AACSWC.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1301105971276558336,1301105971276558336,2020-09-02 16:03:31 India Standard Time,2020-09-02,16:03:31,+0530,2993234070,bwhotelier,BW HOTELIER,,"""There are technocrats in India who can create equally good technology,"" says Dr Sanjay Goyal, Vice President Supply Chain Management, Lite Bite Foods Pvt Ltd  at #IHA2020.  @BiteFoods   @KhannaBhuvanesh @BWBusinessworld @anuragbatrayo  https://t.co/9gHnUwbWai",en,"['bitefoods', 'khannabhuvanesh', 'bwbusinessworld', 'anuragbatrayo']",[],['https://pbs.twimg.com/media/Eg505pkU0AAFmuu.jpg'],0,0,0,['iha2020'],[],https://twitter.com/BWHotelier/status/1301105971276558336,,,1,https://pbs.twimg.com/media/Eg505pkU0AAFmuu.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1301105620192378880,1301105620192378880,2020-09-02 16:02:07 India Standard Time,2020-09-02,16:02:07,+0530,2993234070,bwhotelier,BW HOTELIER,,"""We as a nation don't take pride in the talent we have,"" says Dr Sanjay Goyal, Vice President Supply Chain Management, Lite Bite Foods Pvt Ltd  at #IHA2020.  @BiteFoods   @KhannaBhuvanesh @BWBusinessworld @anuragbatrayo  https://t.co/QLDEJjIjVr",en,"['bitefoods', 'khannabhuvanesh', 'bwbusinessworld', 'anuragbatrayo']",[],['https://pbs.twimg.com/media/Eg50oK5UwAUJQqt.jpg'],0,0,0,['iha2020'],[],https://twitter.com/BWHotelier/status/1301105620192378880,,,1,https://pbs.twimg.com/media/Eg50oK5UwAUJQqt.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1282553296041852928,1282553296041852928,2020-07-13 11:21:49 India Standard Time,2020-07-13,11:21:49,+0530,245719674,febrandwagon,FE BrandWagon,, https://t.co/lbAxlFsbYZ Fine dining outlets are resorting to deliveries and cloud kitchens to make a comeback @bitefoods @punjabgrill @smokehousedeli @devikasingh29,en,"['bitefoods', 'punjabgrill', 'smokehousedeli', 'devikasingh29']",['https://www.financialexpress.com/brandwagon/restaurants-cook-up-a-strategy-to-beat-pandemic-blues/2015467/'],[],0,1,1,[],[],https://twitter.com/FEBrandWagon/status/1282553296041852928,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1280815448527761410,1280815448527761410,2020-07-08 16:16:13 India Standard Time,2020-07-08,16:16:13,+0530,225012752,etnowlive,ET NOW,,"Catch @Burman_Amit of @BiteFoods sharing demand trends post lockdown, as well as the companies, foray into cloud kitchen. Here's an excerpt from the conversation  https://t.co/xxjlWdm1e8",en,"['burman_amit', 'bitefoods']",[],[],0,1,5,[],[],https://twitter.com/ETNOWlive/status/1280815448527761410,,,1,https://pbs.twimg.com/amplify_video_thumb/1280814364665110529/img/MoG14ljvyv0102AD.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1267327992448995328,1223163451251363840,2020-06-01 11:01:53 India Standard Time,2020-06-01,11:01:53,+0530,88681100,epicurious007,manoj sharma,,"@KiranL15 @Losubdvn2bng @LabourMinistry @BiteFoods Good Day Sir,   I am still waiting to get my pending dues , your  kind assistance will be highly appreciated.",en,"['kiranl15', 'losubdvn2bng', 'labourministry', 'bitefoods']",[],[],0,0,0,[],[],https://twitter.com/epicurious007/status/1267327992448995328,,,0,,,,,,,,"{'user_id': '1147409869164539904', 'username': 'KiranL15'}",,,,
1249672703554080769,1249672703554080769,2020-04-13 17:46:04 India Standard Time,2020-04-13,17:46:04,+0530,2765446322,indianrestcong,restaurantindia.in,,"Watch Live! Vineet Manocha, Senior VP- Culinary, @BiteFoods discussing about the rise of new age delivery models.   #VirtualConference #RestaurantIndia #Webinars #DarkKitchen #CloudKitchen #RestaurantIndustry  https://t.co/xrE5tADAiA",en,['bitefoods'],[],['https://pbs.twimg.com/media/EVe6s1aX0AI781q.jpg'],0,0,0,"['virtualconference', 'restaurantindia', 'webinars', 'darkkitchen', 'cloudkitchen', 'restaurantindustry']",[],https://twitter.com/IndianRestCong/status/1249672703554080769,,,1,https://pbs.twimg.com/media/EVe6s1aX0AI781q.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1224232512982880259,1223163451251363840,2020-02-03 12:55:50 India Standard Time,2020-02-03,12:55:50,+0530,1147409869164539904,kiranl15,Kiran L,,@epicurious007 @Losubdvn2bng @LabourMinistry @BiteFoods 🙏,und,"['epicurious007', 'losubdvn2bng', 'labourministry', 'bitefoods']",[],[],0,0,0,[],[],https://twitter.com/KiranL15/status/1224232512982880259,,,0,,,,,,,,"{'user_id': '88681100', 'username': 'epicurious007'}",,,,
1224232240898441216,1223163451251363840,2020-02-03 12:54:46 India Standard Time,2020-02-03,12:54:46,+0530,88681100,epicurious007,manoj sharma,,"@KiranL15 @Losubdvn2bng @LabourMinistry @BiteFoods Thank you, Sir.",en,"['kiranl15', 'losubdvn2bng', 'labourministry', 'bitefoods']",[],[],1,0,1,[],[],https://twitter.com/epicurious007/status/1224232240898441216,,,0,,,,,,,,"{'user_id': '1147409869164539904', 'username': 'KiranL15'}",,,,
