id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1320183299050975232,1320183299050975232,2020-10-25 07:30:00 India Standard Time,2020-10-25,07:30:00,+0530,778243527981490176,adani_gas,Adani Gas,,Let's celebrate this special festival that symbolises the victory of righteousness by committing ourselves to fight all the negative forces hampering our society  #HappyDussehra #AdaniGas  #FuellingGoodness #NaturalGas #Reliable #SmartFuel  https://t.co/abpBQiXU1I,en,[],[],['https://pbs.twimg.com/media/ElAEerMUcAAAKzj.jpg'],0,0,0,"['happydussehra', 'adanigas', 'fuellinggoodness', 'naturalgas', 'reliable', 'smartfuel']",[],https://twitter.com/Adani_Gas/status/1320183299050975232,,,1,https://pbs.twimg.com/media/ElAEerMUcAAAKzj.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1320000715855544321,1311930757317758977,2020-10-24 19:24:29 India Standard Time,2020-10-24,19:24:29,+0530,778243527981490176,adani_gas,Adani Gas,,"@TusharGupta Dear Sir,  The waiver of late payment charges has been approved and same will be reversed in your account in one business days time. We regret for the inconveniences and thank you for your kind cooperation. Thanks  Adani Gas CID 1000349179",en,['tushargupta'],[],[],0,0,0,[],[],https://twitter.com/Adani_Gas/status/1320000715855544321,,,0,,,,,,,,"{'user_id': '16556378', 'username': 'TusharGupta'}",,,,
1319883720526974976,1318426959685111808,2020-10-24 11:39:35 India Standard Time,2020-10-24,11:39:35,+0530,778243527981490176,adani_gas,Adani Gas,,"@UrbanRaavan Dear Sir,  As per updates received the desired work of modification has been attended and resolved. We thank you for your kind cooperation and deeply regret for the delay and inconveniences. Adani Gas.",en,['urbanraavan'],[],[],0,0,0,[],[],https://twitter.com/Adani_Gas/status/1319883720526974976,,,0,,,,,,,,"{'user_id': '1172127884', 'username': 'UrbanRaavan'}",,,,
1319575119434379264,1319505389721845761,2020-10-23 15:13:19 India Standard Time,2020-10-23,15:13:19,+0530,833064096,ktsandeep27,Tony Sandeep,,@Guidance_TN @CMOTamilNadu @MCSampathOffl @muruganandamias @neerajmittalias @DIPPGOI @Adani_Gas @gautam_adani @VikramSolar @DP_World @HyundaiIndia @ChennaiSsss @sang1983 @tenarasimhan @investindia @AndhraPradeshCM @AP_EDB @MekapatiGoutham !!!,und,"['guidance_tn', 'cmotamilnadu', 'mcsampathoffl', 'muruganandamias', 'neerajmittalias', 'dippgoi', 'adani_gas', 'gautam_adani', 'vikramsolar', 'dp_world', 'hyundaiindia', 'chennaissss', 'sang1983', 'tenarasimhan', 'investindia', 'andhrapradeshcm', 'ap_edb', 'mekapatigoutham']",[],[],0,0,0,[],[],https://twitter.com/ktsandeep27/status/1319575119434379264,,,0,,,,,,,,"{'user_id': '924256281455505408', 'username': 'Guidance_TN'}",,,,
1319557834648907776,1319557834648907776,2020-10-23 14:04:38 India Standard Time,2020-10-23,14:04:38,+0530,778243527981490176,adani_gas,Adani Gas,,"Adani CNG is now available in Udaipur and Bhilwara. So, get ready to change the way you drive and get more savings and safety with Adani CNG. To know more about Adani CNG, Missed call us on 81019 81019 #AdaniGas  #FuellingGoodness #NaturalGas #Reliable #SmartFuel #CNGStation  https://t.co/WNHoDoaRFK",en,[],[],['https://pbs.twimg.com/media/ElAC0qZVMAEj_el.jpg'],0,0,0,"['adanigas', 'fuellinggoodness', 'naturalgas', 'reliable', 'smartfuel', 'cngstation']",[],https://twitter.com/Adani_Gas/status/1319557834648907776,,,1,https://pbs.twimg.com/media/ElAC0qZVMAEj_el.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1319520804988567552,1319505144824754176,2020-10-23 11:37:30 India Standard Time,2020-10-23,11:37:30,+0530,778243527981490176,adani_gas,Adani Gas,,@sabhishek68 We sincerely regret the inconvenience caused to you. We understand your concern and request you to Inbox your Consumer number &amp; Contact details. We are committed to Fuelling Goodness and resolve your problem at the earliest.,en,['sabhishek68'],[],[],0,0,0,[],[],https://twitter.com/Adani_Gas/status/1319520804988567552,,,0,,,,,,,,"{'user_id': '365513454', 'username': 'sabhishek68'}",,,,
1319518837696425984,1319505389721845761,2020-10-23 11:29:41 India Standard Time,2020-10-23,11:29:41,+0530,866347719006105600,rahul_ram881,Rahul,,@Guidance_TN @CMOTamilNadu @MCSampathOffl @muruganandamias @neerajmittalias @DIPPGOI @Adani_Gas @gautam_adani @VikramSolar @DP_World @HyundaiIndia @ChennaiSsss @sang1983 @tenarasimhan @investindia @Guidance_TN Try for tesla,en,"['guidance_tn', 'cmotamilnadu', 'mcsampathoffl', 'muruganandamias', 'neerajmittalias', 'dippgoi', 'adani_gas', 'gautam_adani', 'vikramsolar', 'dp_world', 'hyundaiindia', 'chennaissss', 'sang1983', 'tenarasimhan', 'investindia', 'guidance_tn']",[],[],0,1,2,[],[],https://twitter.com/Rahul_ram881/status/1319518837696425984,,,0,,,,,,,,"{'user_id': '924256281455505408', 'username': 'Guidance_TN'}",,,,
1319516593705996288,1319505389721845761,2020-10-23 11:20:46 India Standard Time,2020-10-23,11:20:46,+0530,1310843076882001920,shravan90074000,Shravan,,@Guidance_TN @CMOTamilNadu @MCSampathOffl @muruganandamias @neerajmittalias @DIPPGOI @Adani_Gas @gautam_adani @VikramSolar @DP_World @HyundaiIndia @ChennaiSsss @sang1983 @tenarasimhan @investindia Sir please bring TESLA to Tamil Nadu. It'll be a very big achievement for the present government and also will boost the EV sector of TN.,en,"['guidance_tn', 'cmotamilnadu', 'mcsampathoffl', 'muruganandamias', 'neerajmittalias', 'dippgoi', 'adani_gas', 'gautam_adani', 'vikramsolar', 'dp_world', 'hyundaiindia', 'chennaissss', 'sang1983', 'tenarasimhan', 'investindia']",[],[],0,1,1,[],[],https://twitter.com/Shravan90074000/status/1319516593705996288,,,0,,,,,,,,"{'user_id': '924256281455505408', 'username': 'Guidance_TN'}",,,,
1319505144824754176,1319505144824754176,2020-10-23 10:35:16 India Standard Time,2020-10-23,10:35:16,+0530,365513454,sabhishek68,Abhishek singh,,@Adani_Gas  no one answering the call at all no one is taking request to come at home and to fit the pipeline for connection have taken follow up for so many times.This person(mentioned below is supervisor in my area) not taking my call at all.Please do something.  https://t.co/RHofDIQweN,en,['adani_gas'],[],['https://pbs.twimg.com/media/Ek_S7U0VkAQb9qz.jpg'],1,0,0,[],[],https://twitter.com/sabhishek68/status/1319505144824754176,,,1,https://pbs.twimg.com/media/Ek_S7U0VkAQb9qz.jpg,,,,,,,"{'user_id': '778243527981490176', 'username': 'Adani_Gas'}",,,,
1319485429826031618,1318426959685111808,2020-10-23 09:16:55 India Standard Time,2020-10-23,09:16:55,+0530,1172127884,urbanraavan,M.,,@Adani_Gas @Adani_Gas no response yet. Your team on call only has one answer - it will be done in 2-3 days and this parrot like response they are giving for last 15 days,en,"['adani_gas', 'adani_gas']",[],[],1,0,0,[],[],https://twitter.com/UrbanRaavan/status/1319485429826031618,,,0,,,,,,,,"{'user_id': '778243527981490176', 'username': 'Adani_Gas'}",,,,
